Song, Artist 
"Love Dive","IVE"
"Still Life","BIGBANG"
"Tomboy","(G)I-DLE"
"Feel My Rhythm","Red Velvet"
"Ganadara","Jay Park Feat. IU"
"Love, Maybe","MeloMance"
"DrunKen Confession","Kim Minseok"
"Invu","TAEYEON"
"Traffic Light","Lee Mujin"
"Eleven","IVE"
"Run2u","STAYC"
"Merry-Go-Round","sokodomo Feat. Zion.T, Wonstein, Prod. by Slom"
"Smiley","YENA Feat. BIBI"
"Strawberry Moon","IU"
"Not Spring, Love Or Cherry Blossoms","High4 With IU"
"Real Love","OH MY GIRL"
"Drama","IU"
"Do You Want To Hear","MSG WANNABE (M.O.M)"
"Next Level","aespa"
"LOVE me","BE'O"
"Weekend","TAEYEON"
"Love Always Run Away","Lim Young Woong"
"Your Existence","Wonstein"
"Every Moment Of You","Sung Si-Kyung"
"Lilac","IU"
"Limousine","BE'O Feat. MINO Prod. GRAY"
"How Can I Love The Heartbreak, You're The One I Love","AKMU"
"Permission To Dance","BTS"
"Cherry Blossom Ending","Busker Busker"
"Dynamite","BTS"
"Butter","BTS"
"Nakka","AKMU With IU"
"Step Back","GOT The Beat"
"My Bag","(G)I-DLE"
"When It Snows","Lee Mujin Feat. HEIZE"
"Celebrity","IU"
"Twenty Five, Twenty One","Jaurim"
"Shiny Star (2020)","KyoungSeo"
"Go Back","MeloMance"
"Blueming","IU"
"Dreams Come True","aespa"
"Darl+ing","SEVENTEEN"
"Your Shampoo Scent In The Flowers","Jang Beom June"
"Through The Night","IU"
"Starlight","TAEIL"
"Spring Day","BTS"
"Foolish Love","M.O.M"
"If You Lovingly Call My Name","Gyeongseo Yeji & Jeon Gunho"
"Winter Sleep","IU"
"Savage","aespa"
"Dun Dun Dance","OH MY GIRL"
"Meeting Is Easy, Parting Is Hard","Basick Feat. Leellamarz Prod. TOIL"
"Love Poem","IU"
"Rollin'","Brave Girls"
"Slightly Tipsy","SANDEUL"
"Can't Sleep","Jang Beom June"
"Horangsuwolga","Tophyun"
"Drawer","10cm"
"Hold My Hand","IU"
"Ohayo My Night","D-Hack, PATEKO"
"Counting Stars","Be'O Feat. Beenzino"
"Happen","HEIZE"
"O.O","NMIXX"
"Glitch Mode","NCT DREAM"
"Every Day, Every Moment","Paul Kim"
"Can't Control Myself","TAEYEON"
"Always love you","Kassy"
"Lovesick Girls","BLACKPINK"
"I Will Go To You Like The First Snow","Ailee"
"Queendom","Red Velvet"
"Very, Slowly","BIBI"
"With","Kim Tae Ri, Nam Joo Hyuk, Bona, Choi Hyun Wook, Lee Joo Myung"
"Spring Days","BEN"
"Think About You","Joosiq"
"Bop Bop!","VIVIZ"
"Zoom","Jessi"
"Space","BOL4"
"On The Street","Sung Si-Kyung"
"Dissonance","Mudd the student Feat. AKMU Prod. GRAY"
"Wa Da Da","Kep1er"
"Timeless","SG Wannabe"
"Flower","Park Bom with Kim Minseok of Melomance"
"Until I Love The Love","Choi junghoon of Jannabi"
"ASAP","STAYC"
"What The Spring?","10cm"
"Holding hands or walking together.","Jukjae"
"For Lovers Who Hesitate","JANNABI"
"Love Blossom","K.Will"
"Dial Your Number","Kim Na Young"
"Bom","BOL4"
"DM","fromis_9"
"Baby I Need You","Joosiq"
"Beyond Love","BIG Naughty Feat. 10cm"
"Beautiful In My Life","Lee YeJoon"
"Daydream","HIGHLIGHT"
"Envy None","Chang Kiha"
"Hello","JOY"
"Four Seasons","TAEYEON"
"Seoul","BOL4"
"My Sea","IU"
